,OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group
1273,2668,2020-10-18,2020-10-18,4.0,Unknown,34.03919,-118.58876,CALACC,Brush,US-CA,0.0,Group-1
1274,2669,2021-03-02,2021-03-16,876.94,Natural,47.438381899999996,-102.98411845000001,SDGPC,Grass,US-ND,,
1275,2670,2020-12-07,2020-12-07,4.0,Human,34.0347,-118.72336,CALACC,Timber,US-CA,0.0,Group-1
1276,2671,2021-03-10,2021-03-13,2942.01,Human,38.13164,-96.84902,COPBC,Unknown,US-KS,3.0,Group-1
1277,2672,2021-03-31,2021-05-20,35.68,Unknown,42.55899,-121.6616,ORLFC,Brush,US-OR,50.0,Group-4
1278,2673,2021-03-31,2021-04-16,9.51,Human,37.55935,-91.06246,MOMOC,Unknown,US-MO,16.0,Group-2
1279,2674,2021-03-20,2021-03-23,5861.92,Human,27.07373333,-97.5596,TXTIC,Unknown,US-TX,3.0,Group-1
1280,2675,2021-03-23,2021-04-06,300.0,Human,26.88791667,-97.78943333,TXTIC,Unknown,US-TX,,
1281,2676,2021-03-18,2021-03-25,6000.0,Human,26.953071,-98.087629,TXTIC,Unknown,US-TX,7.0,Group-1
1282,2677,2021-02-22,2021-05-07,223.91,Human,38.41222,-96.52059,COPBC,Grass,US-KS,74.0,Group-5
1283,2678,2021-03-06,2021-03-15,967.0,Human,36.27617,-96.29251,ARAOC,Unknown,US-OK,9.0,Group-1
1284,2679,2021-03-05,2021-03-15,21.7,Human,36.30522,-96.30186,ARAOC,Unknown,US-OK,10.0,Group-1
1285,2680,2021-04-01,2021-04-11,27.54,Human,42.69154,-114.9356,IDSCC,Grass,US-ID,10.0,Group-1
1286,2681,2021-03-31,2021-04-11,1.43672385,Human,43.03278,-114.7381,IDSCC,Grass,US-ID,11.0,Group-1
1287,2682,2021-03-31,2021-04-06,4.0,Human,47.570476969924755,-93.74467363909771,MNMNCC,Grass,US-MN,6.0,Group-1
1288,2685,2020-03-08,2020-03-22,110.4956611,Unknown,36.07188,-93.22916,ARAOC,Unknown,US-AR,,
1289,2686,2020-03-05,2020-03-19,700.2631993,Unknown,36.06966,-93.16159,ARAOC,Unknown,US-AR,,
1290,2689,2021-03-30,2021-04-02,0.13,Human,43.47849,-103.3419,SDGPC,Unknown,US-SD,3.0,Group-1
1291,2696,2021-04-01,2021-04-01,0.12,Human,47.57047696992474,-93.74467363909771,MNMNCC,Grass,US-MN,0.0,Group-1
1292,2697,2021-04-01,2021-04-01,0.1,Human,47.570476969924734,-93.74467363909773,MNMNCC,Grass,US-MN,0.0,Group-1
1293,2698,2021-03-31,2021-03-31,1.0,Human,47.570476969924755,-93.7446736390977,MNMNCC,Grass,US-MN,0.0,Group-1
1294,2699,2021-03-24,2021-04-01,1.43,Human,44.02024,-103.6455,SDGPC,Grass,US-SD,8.0,Group-1
1295,2701,2021-04-01,2021-04-01,0.3,Human,44.0351310089286,-103.03603723214283,SDGPC,Grass,US-SD,0.0,Group-1
1296,2702,2021-03-30,2021-04-28,1.0,Human,47.57047696992474,-93.7446736390977,MNMNCC,Grass-Shrub,US-MN,29.0,Group-2
1297,2703,2021-04-01,2021-04-01,188.0,Human,47.57047696992475,-93.74467363909767,MNMNCC,Grass-Shrub,US-MN,0.0,Group-1
1298,2704,2021-03-04,2021-03-18,14.12,Unknown,34.75134,-95.09232,ARAOC,Unknown,US-OK,,
1299,2705,2020-11-13,2020-11-13,4.0,Human,34.03919,-118.58876,CALACC,Brush,US-CA,0.0,Group-1
1300,2707,2020-11-10,2020-11-24,4.0,Unknown,34.03932,-118.58952,CALACC,Brush,US-CA,,
1301,2708,2021-03-29,2021-04-09,1.0,Unknown,43.9474,-100.9211,SDGPC,Unknown,US-SD,11.0,Group-1
1302,2709,2020-12-01,2020-12-01,4.0,Human,34.08234,-118.59871,CALACC,Brush,US-CA,0.0,Group-1
1303,2710,2021-04-01,2021-04-03,2.0,Human,44.0351310089286,-103.03603723214285,SDGPC,Grass,US-SD,2.0,Group-1
1304,2712,2021-01-14,2021-02-13,1.0,Human,44.50723,-100.4836,SDGPC,Unknown,US-SD,30.0,Group-3
1305,2714,2021-03-27,2021-05-06,32.99464942,Human,41.81535,-112.9957,UTNUC,Grass,US-UT,40.0,Group-3
1306,2717,2021-03-31,2021-04-02,2.86950222,Human,42.82134,-112.2193,IDEIC,Grass,US-ID,2.0,Group-1
1307,2718,2021-03-29,2021-04-08,0.25,Human,47.570476969924734,-93.74467363909768,MNMNCC,Timber,US-MN,10.0,Group-1
1308,2719,2021-03-30,2021-03-30,2.5,Human,45.253783,-69.445469,NHNEC,Grass,US-ME,0.0,Group-1
1309,2720,2021-03-29,2021-04-11,9181.82,Unknown,45.58358,-102.7549,SDGPC,Grass,US-SD,13.0,Group-1
1310,2721,2021-04-01,2021-04-02,4.0,Unknown,47.57047696992474,-93.7446736390977,MNMNCC,Grass,US-MN,1.0,Group-1
1311,2722,2021-04-01,2021-04-02,1.0,Human,47.570476969924734,-93.74467363909767,MNMNCC,Grass,US-MN,1.0,Group-1
1312,2723,2021-03-29,2021-04-16,9879.21,Human,36.48994,-96.11028,ARAOC,Unknown,US-OK,18.0,Group-2
1313,2724,2021-03-07,2021-03-21,1551.0,Human,35.52832838028167,-96.82777098591549,ARAOC,Unknown,US-OK,,
1314,2725,2021-04-02,2021-04-02,0.5,Human,44.0351310089286,-103.03603723214283,SDGPC,Grass,US-SD,0.0,Group-1
1315,2726,2021-01-26,2021-02-09,3378.0,Human,28.185820560810825,-81.96352249324323,FLFIC,Unknown,US-FL,,
1316,2729,2021-03-28,2021-04-11,1.0,Unknown,34.50549,-93.60992,ARAOC,Unknown,US-AR,,
1317,2731,2021-03-30,2021-04-09,1.0,Unknown,47.570476969924734,-93.74467363909767,MNMNCC,Timber,US-MN,10.0,Group-1
1318,2734,2021-03-29,2021-04-02,0.1,Unknown,47.57047696992474,-93.74467363909768,MNMNCC,Grass-Shrub,US-MN,4.0,Group-1
1319,2735,2021-04-01,2021-04-03,10.0,Human,44.0351310089286,-103.03603723214285,SDGPC,Grass,US-SD,2.0,Group-1
1320,2736,2021-04-01,2021-04-02,4.0,Human,47.57047696992475,-93.74467363909766,MNMNCC,Grass-Shrub,US-MN,1.0,Group-1
1321,2737,2021-03-10,2021-03-31,0.75,Unknown,47.570476969924734,-93.74467363909766,MNMNCC,Grass,US-MN,21.0,Group-2
1322,2738,2021-03-19,2021-04-02,4.8,Human,47.57047696992474,-93.74467363909767,MNMNCC,Grass,US-MN,14.0,Group-1
1323,2740,2021-04-02,2021-04-05,4.0,Human,47.570476969924734,-93.74467363909768,MNMNCC,Grass-Shrub,US-MN,3.0,Group-1
1324,2741,2021-04-02,2021-04-05,4.0,Human,47.570476969924734,-93.74467363909768,MNMNCC,Grass,US-MN,3.0,Group-1
1325,2742,2021-04-02,2021-04-08,4.0,Human,47.57047696992474,-93.7446736390977,MNMNCC,Grass,US-MN,6.0,Group-1
1326,2743,2021-04-01,2021-04-17,1.0,Human,47.57047696992475,-93.7446736390977,MNMNCC,Grass,US-MN,16.0,Group-2
1327,2744,2021-04-02,2021-07-07,0.1,Human,43.74375,-117.1369,ORVAC,Grass,US-OR,96.0,Group-5
1328,2745,2021-04-02,2021-04-06,15.0,Unknown,44.56258,-108.9738,WYCDC,Grass-Shrub,US-WY,4.0,Group-1
1329,2748,2021-04-01,2021-04-16,40.0,Human,34.75089,-95.09983,ARAOC,Timber,US-OK,15.0,Group-2
1330,2758,2021-03-17,2021-03-19,50.0,Unknown,47.570476969924734,-93.74467363909771,MNMNCC,Grass-Shrub,US-MN,2.0,Group-1
