,humidity,windspeed,pressure,temp,conditions
913,62.61,8.1,1021.0,53.3,2.0
9745,94.35,12.4,1023.2,50.9,2.0
13317,46.91,13.7,1010.8,71.3,1.0
209,90.43,15.0,1020.7,51.0,3.0
3901,19.6,12.1,1013.4,77.1,1.0
8065,31.87,22.1,1009.0,84.1,1.0
4125,83.56,18.0,1007.3,59.0,2.0
14133,33.65,15.0,1019.7,67.6,1.0
15132,81.56,16.2,1007.1,73.1,2.0
13528,73.01,14.6,1014.6,48.0,2.0
15797,69.32,8.2,1021.0,48.3,1.0
1321,64.13,17.1,1016.9,43.3,3.0
10619,39.89,7.0,1009.6,77.7,1.0
18538,74.92,10.1,1012.2,76.9,2.0
1545,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
5337,59.28,15.9,1021.5,52.7,2.0
784,10.02,7.3,1011.3,75.0,1.0
2203,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
17769,71.57,24.5,1006.1,80.5,3.0
18702,62.87,14.9,1029.3,41.9,2.0
10546,61.14,18.4,1006.5,68.2,2.0
19199,54.72,9.3,1020.6,53.6,1.0
7464,35.88,16.5,1006.4,84.6,1.0
10483,73.6,10.3,1018.1,77.8,2.0
15750,70.32,4.3,1020.8,80.8,1.0
10161,54.59,15.0,1017.1,65.2,1.0
15789,67.2,11.1,1011.5,77.7,1.0
11720,83.09,10.6,1023.7,66.7,2.0
10062,74.75,10.1,1014.1,70.7,1.0
2813,59.83,9.1,1017.4,71.1,1.0
17404,75.96,8.0,1015.1283048687221,72.8,2.0
19405,18.7,18.6,1014.2,84.5,1.0
19334,72.02,10.8,1024.6,41.6,2.0
18215,79.55,25.4,1013.7,77.2,2.0
15262,41.34,11.5,1021.8,51.1,1.0
13757,77.78,11.0,1029.3,48.0,3.0
12344,70.86,5.4,1015.1283048687221,84.7,1.0
16023,52.47,23.4,1017.1,78.4,5.0
16173,92.62,12.3,1013.9,52.7,2.0
8050,91.7,18.9,1011.5,71.6,2.0
10821,56.14,13.4,1016.6,32.3,3.0
11646,48.02,11.5,1016.8,41.4,2.0
11342,45.49,15.9,1020.4,41.7,3.0
2270,79.42,15.0,1015.3,32.0,7.0
14090,89.18,9.4,1018.3,65.7,2.0
18583,75.14,4.2,1014.6,82.1,1.0
15333,82.98,14.4,1012.9,73.7,2.0
617,38.62,10.4,1010.7,51.9,3.0
18105,72.24,16.0,1005.6,72.7,1.0
12243,68.08,13.6,1011.8,65.3,2.0
12394,81.99,5.2,1013.3,76.4,2.0
3111,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
16450,71.05,11.8,1013.2,81.7,5.0
6126,9.51,13.1,1011.7,88.7,1.0
9548,67.12,14.3,1022.3,75.6,3.0
20325,57.09,9.4,1015.9,74.2,1.0
3495,71.97,23.8,1008.8,42.3,3.0
18220,85.95,15.6,1006.1,69.7,2.0
12393,90.21,14.9,1012.5,56.0,5.0
1894,66.57,7.5,1019.1,55.0,3.0
16951,60.64,14.0,1015.1283048687221,66.9,2.0
15145,87.52,15.0,1015.5,29.7,7.0
6444,42.29,19.5,1016.0,78.0,1.0
